fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
27023,12321,6.301,4.996,50.995,4.4,51.274,11.7,17.6,25.6,29.9,14.1,-30.6156406,-28.89
29151,13561,0.785,1.578,48.151,3.7,51.958,10.4,17.5,25.9,33.3,13.8,-71.4683645,-68.48
36121,41398,3.365,8.136,45.583,5.7,53.783,13.2,14.7,23,25.6,2204.7,-45.295899,-50.977
34011,157745,29.694,28.13,48.483,8.7,45.438,23.4,13.8,28.3,34.5,386.9,6.0729393,5.342
28065,12543,1.149,60.917,52.353,8.7,28.271,22.7,14.7,35.3,39.4,14.9,17.1414775,20.106
46045,3935,1.975,2.501,49.287,2.5,57.148,12.3,23.6,24.2,29.1,7,-56.4735516,-54.901
48507,11585,93.094,3.253,49.407,11.1,26.336,40.4,8.5,23,27.4,14,31.3770268,57.257
48359,2118,15.708,8.168,48.719,3,54.458,17.6,30.3,23,29.3,11.1,-82.8543112,-81.693
42051,142605,1.133,7.055,50.641,7.2,36.902,13.9,13.9,30.7,38.5,351.1,-33.445984,-31
48413,2731,52.787,4.765,48.894,4.7,50.361,26.3,20.4,24.1,27.5,5.4,-62.8990509,-57.875
28109,57860,3.053,15.713,50.485,6.3,38.465,17.4,13.5,30.7,33.7,50.7,-64.2741231,-66.75
20087,18207,2.552,4.01,49.134,4.2,56.927,6.9,21,23.2,29.9,20.5,-32.0997751,-32.254
55113,16939,2.18,21.44,49.194,7.9,40.701,10,22.1,25.5,29.7,13.2,-13.4253092,-22.905
39159,48903,1.584,7.799,52.184,3.8,69.9,8.4,26,27.7,34.2,163.1,-31.4785469,-37.957
4019,1020200,36.373,14.667,50.849,5.6,45.871,12.5,30.1,17.3,24.2,106.7,18.6824674,13.48
48365,23310,9.396,19.145,50.492,5.2,48.822,16.6,11.4,26.9,30.7,29.5,-63.4791722,-63.478
55085,35930,1.532,3.593,50.044,5.9,49.04,6.9,24.4,21.8,32.8,32.3,-14.7605447,-17.152
30003,13015,5.868,68.781,50.77,6.6,38.871,15.5,15.8,25.9,38.8,1.7,5.9364549,5.47
22037,20970,1.432,46.243,46.096,5.8,41.651,18.6,12.9,30.7,42.1,18.4,-16.9759254,-13.284
30077,7089,2.339,7.807,37.953,4.5,40.072,10.4,18.9,26.1,28,0.5,-50.4246618,-52.844
54055,61921,1.015,8.894,52.194,7.3,35.046,18,19,32.6,37.4,148.6,-54.4322432,-55.295
17071,7354,1.773,2.216,51.122,5.9,50.999,10.5,14.1,25.9,30.4,24.3,-33.0956951,-28.793
28121,143124,2.654,23.132,51.721,4.2,58.368,10.8,28.7,28.5,31.5,20.3,-45.3584318,-52.851
49045,58335,11.828,5.677,49.476,4.1,64.193,8.6,20.6,20.6,31.7,19.4,-38.3133372,-30.034
8125,9734,22.127,2.789,50.207,2.7,46.838,11.1,18.6,22.5,24.8,4.2,-66.693435,-65.48
40111,39292,4.001,34.606,50.706,6.4,38.183,13.7,14.5,31.3,38,1013.8,-37.1061273,-32.656
20059,26441,4.042,5.439,50.182,4.6,50.745,8.3,21,29.3,33.8,30.8,-38.3826241,-39.369
40031,113228,12.885,34.021,48.09,4.2,46.071,10.7,20.4,29.7,34.8,11.5,-20.0892482,-23.732
1087,21789,1.591,82.947,54.08,8.1,28.518,18.7,19.4,30.4,44.7,35.2,63.8197868,66.792
5069,78705,2.036,58.337,50.68,7.2,35.927,15.7,17.1,33.3,40.7,88.9,21.7028381,25.135
