fips,never,rarely,sometimes,frequently,always
13023,8.9,3.1,11.7,25.6,50.8
13025,4.7,12.9,15,16.4,51
13027,9.2,16.5,12.4,23.5,38.5
13029,3.3,3.9,9.5,23.8,59.5
13031,5.3,4.9,16.3,31,42.4
13033,10.5,10.9,8.7,20.8,49.2
13035,12.5,3.7,14.4,16.3,53
13037,1.3,3.5,4.3,17.2,73.7
13039,13.6,12.5,17,11.3,45.6
13043,3.7,4.5,17.7,26.4,47.7
13045,8.9,13.3,15.4,16.8,45.7
13047,14.3,15.2,11.4,21.7,37.5
13049,6.5,9.4,15,19.6,49.5
13051,3.5,4,14.4,15.8,62.4
13053,6.1,7.2,10.8,21.4,54.5
13055,11.6,10.2,18.7,14.3,45.1
13057,4.9,5.4,10,21.3,58.4
13059,5.4,5.7,6,22.6,60.3
13061,2.8,6.6,12,22.3,56.2
13063,3.8,5.4,12.5,15.9,62.4
13065,6,5.8,13.4,16.8,58
13067,3.9,4.9,11.6,22.5,57.2
13069,8.5,12.4,16.4,22.2,40.4
13071,10.8,19.1,7.4,23.3,39.4
13073,6.1,6.4,9.5,23.4,54.7
13075,9.8,13.4,12.3,20.3,44.1
13077,10.5,5.3,18.3,20.4,45.5
13079,5.7,5.1,23.1,19.2,46.8
13081,11.9,2.3,6,16.3,63.5
13083,12.8,22.2,13,24.9,27
13085,4.9,9,12.8,16.2,57.1
13087,9.3,4,17.1,18,51.6
13089,3.6,2.8,7.5,15.6,70.4
13091,14.5,2.5,15,23.6,44.3
13093,7.7,3.4,5.8,20.4,62.7
13095,3.3,3.7,4.5,15.9,72.6
13097,8.3,3.7,9,19.8,59.1
13099,4.5,6.2,15.6,25.3,48.5
13101,9.7,7.3,18.2,20.2,44.6
13103,4.4,6.4,14.5,27.2,47.5
13105,13.2,17.7,8.1,10.7,50.3
13107,6.2,4.4,14.2,25.2,50
13109,3,7.8,22.9,29,37.2
13111,7.5,8.8,12.5,11.2,60
13113,6,8.6,13.1,21.8,50.5
13115,18.6,3.6,23.4,14.8,39.5
13117,3.5,4.8,8.3,19.3,64.1
13119,16.8,7.4,11.7,21.5,42.5
